id,season,city,date,team1,team2,toss_winner,day_night,toss_decision,result,dl_applied,winner,team1_score,team2_score,team1_wicket_fall,team2_wicket_fall,team1_overs_play,team2_overs_play,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,country
1359527,2023,Kolkata,2023/05/08,Punjab Kings,Kolkata Knight Riders,Punjab Kings,Night,bat,normal,0,Kolkata Knight Riders,179,182,7,5,20/20,20/20,0,5,AD Russell,"Eden Gardens, Kolkata",A Totre,J Madanagopal,UV Gandhe,India
1359525,2023,Ahmedabad,2023/05/07,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,Day/Night,field,normal,0,Gujarat Titans,227,171,2,7,20/20,20/20,56,0,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",AK Chaudhary,A Nand Kishore,CB Gaffaney,India
1359526,2023,Jaipur,2023/05/07,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Night,bat,normal,0,Sunrisers Hyderabad,214,217,2,6,20/20,20/20,0,4,GD Phillips,"Sawai Mansingh Stadium, Jaipur",Nitin Menon,Vinod Seshan,VK Sharma,India
1359524,2023,Delhi,2023/05/06,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,Night,bat,normal,0,Delhi Capitals,181,187,4,3,20/20,16.4/20,0,7,PD Salt,"Arun Jaitley Stadium, Delhi",RJ Tucker,YC Barde,J Madanagopal,India
1359523,2023,Chennai,2023/05/06,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Day/Night,field,normal,0,Chennai Super Kings,139,140,8,4,20/20,17.4/20,0,6,M Pathirana,"MA Chidambaram Stadium, Chepauk, Chennai",BNJ Oxenford,Navdeep Singh,KN Ananthapadmanabhan,India
1359522,2023,Jaipur,2023/05/05,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,Night,bat,normal,0,Gujarat Titans,118,119,10,1,17.5/20,13.5/20,0,9,Rashid Khan,"Sawai Mansingh Stadium, Jaipur",HAS Khalid,VK Sharma,Nitin Menon,India
1359521,2023,Hyderabad,2023/05/04,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Night,bat,normal,0,Kolkata Knight Riders,171,166,9,8,20/20,20/20,5,0,CV Varun,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KN Ananthapadmanabhan,MA Gough,MV Saidharshan Kumar,India
1359520,2023,Chandigarh,2023/05/03,Punjab Kings,Mumbai Indians,Mumbai Indians,Night,field,normal,0,Mumbai Indians,214,216,3,4,20/20,18.5/20,0,6,Ishan Kishan,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",J Madanagopal,RJ Tucker,A Totre,India
1359519,2023,Lucknow,2023/05/03,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,Day/Night,field,normal,0,N/R,125,0,7,0,19.2/20,0/20,0,0,N/A,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",AK Chaudhary,NA Patwardhan,CB Gaffaney,India
1359518,2023,Ahmedabad,2023/05/02,Delhi Capitals,Gujarat Titans,Delhi Capitals,Night,bat,normal,0,Delhi Capitals,130,125,8,6,20/20,20/20,5,0,Mohammed Shami,"Narendra Modi Stadium, Ahmedabad",MA Gough,R Pandit,KN Ananthapadmanabhan,India
1359517,2023,Lucknow,2023/05/01,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,Night,bat,normal,0,Royal Challengers Bangalore,126,108,9,10,20/20,19.5/20,18,0,F du Plessis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",AK Chaudhary,GR Sadashiv Iyer,A Nand Kishore,India
1359515,2023,Chennai,2023/04/30,Chennai Super Kings,Punjab Kings,Chennai Super Kings,Day/Night,bat,normal,0,Punjab Kings,200,201,4,6,20/20,20/20,0,4,DP Conway,"MA Chidambaram Stadium, Chepauk, Chennai",RJ Tucker,UV Gandhe,YC Barde,India
